CRIM,INDUS,NOX,RM,AGE,DIS,RAD,PTRATIO,B,MEDV
0.00632,2.31,0.538,6.575,65.2,4.09,1,15.3,396.9,24
0.02731,7.07,0.469,6.421,78.9,4.9671,2,17.8,396.9,21.6
0.02729,7.07,0.469,7.185,61.1,4.9671,2,17.8,392.83,34.7
0.03237,2.18,0.458,6.998,45.8,6.0622,3,18.7,394.63,33.4
0.06905,2.18,0.458,7.147,54.2,6.0622,3,18.7,396.9,36.2
0.02985,2.18,0.458,6.43,58.7,6.0622,3,18.7,394.12,28.7
0.08829,7.87,0.524,6.012,66.6,5.5605,5,15.2,395.6,22.9
0.14455,7.87,0.524,6.172,96.1,5.9505,5,15.2,396.9,27.1
0.21124,7.87,0.524,5.631,100,6.0821,5,15.2,386.63,16.5
0.17004,7.87,0.524,6.004,85.9,6.5921,5,15.2,386.71,18.9
0.22489,7.87,0.524,6.377,94.3,6.3467,5,15.2,392.52,15
0.11747,7.87,0.524,6.009,82.9,6.2267,5,15.2,396.9,18.9
0.09378,7.87,0.524,5.889,39,5.4509,5,15.2,390.5,21.7
0.62976,8.14,0.538,5.949,61.8,4.7075,4,21,396.9,20.4
0.63796,8.14,0.538,6.096,84.5,4.4619,4,21,380.02,18.2
0.62739,8.14,0.538,5.834,56.5,4.4986,4,21,395.62,19.9
1.05393,8.14,0.538,5.935,29.3,4.4986,,21,386.85,23.1
0.7842,8.14,0.538,5.99,81.7,4.2579,4,21,386.75,17.5
0.80271,8.14,0.538,5.456,36.6,3.7965,4,21,288.99,20.2
0.7258,8.14,0.538,5.727,69.5,3.7965,4,21,390.95,18.2
1.25179,8.14,0.538,5.57,98.1,3.7979,4,21,376.57,13.6
0.85204,8.14,0.538,5.965,89.2,4.0123,4,21,392.53,19.6
1.23247,8.14,0.538,6.142,91.7,3.9769,4,21,396.9,15.2
0.98843,8.14,0.538,5.813,100,4.0952,4,21,394.54,14.5
0.75026,8.14,0.538,5.924,94.1,4.3996,4,21,394.33,15.6
0.84054,8.14,0.538,5.599,85.7,4.4546,4,21,303.42,13.9
0.67191,8.14,0.538,5.813,90.3,4.682,4,21,376.88,16.6
0.95577,8.14,0.538,6.047,88.8,4.4534,4,21,306.38,14.8
0.77299,8.14,0.538,6.495,94.4,4.4547,4,21,387.94,18.4
1.00245,8.14,0.538,6.674,87.3,4.239,4,21,380.23,21
1.13081,8.14,0.538,5.713,94.1,4.233,4,21,360.17,12.7
1.35472,8.14,0.538,6.072,100,4.175,4,21,376.73,14.5
1.38799,8.14,0.538,5.95,82,3.99,4,21,232.6,13.2
1.15172,8.14,0.538,5.701,95,3.7872,4,21,358.77,13.1
1.61282,8.14,0.538,6.096,96.9,3.7598,4,21,248.31,13.5
0.06417,5.96,0.499,5.933,68.2,3.3603,5,19.2,396.9,18.9
0.09744,5.96,0.499,5.841,61.4,3.3779,5,19.2,377.56,20
0.08014,5.96,0.499,5.85,41.5,3.9342,5,19.2,396.9,21
0.17505,5.96,0.499,5.966,30.2,3.8473,5,19.2,393.43,24.7
0.02763,2.95,0.428,6.595,21.8,5.4011,3,18.3,395.63,30.8
0.03359,2.95,0.428,7.024,15.8,5.4011,3,18.3,395.62,34.9
0.12744,6.91,0.448,6.77,2.9,5.7209,3,17.9,385.41,26.6
